['48.857944#2.301014#1', '48.858081#2.294634#1'] 
['48.857944#2.301014#1', '48.861759#2.335872#1'] 
['48.857944#2.301014#1', '48.859027#2.298116#1'] 
['48.890155#2.338883#1', '48.885084#2.337810#1'] 
['48.890155#2.338883#1', '48.886968#2.340812#1'] 
['48.890155#2.338883#1', '48.886454#2.343009#1'] 
['48.866552#2.299383#1', '48.868956#2.301004#1'] 
['48.866552#2.299383#1', '48.864270#2.296871#1'] 
['48.876366#2.332345#1', '48.873190#2.331764#1'] 
['48.849139#2.298183#0', '48.859027#2.298116#0'] 
['48.861137#2.297852#1', '48.864270#2.296871#1'] 
['48.861137#2.297852#1', '48.862169#2.288817#1'] 
['48.861137#2.297852#1', '48.859027#2.298116#1'] 
['48.861137#2.297852#0', '48.864270#2.296871#0'] 
['48.861137#2.297852#0', '48.858081#2.294634#0'] 
['48.861137#2.297852#0', '48.859027#2.298116#0'] 
['48.855567#2.337744#0', '48.853647#2.338748#0'] 
['48.855567#2.337744#0', '48.857268#2.334587#0'] 
['48.855567#2.337744#0', '48.858368#2.337504#0'] 
['48.868106#2.313655#0', '48.863477#2.313458#0'] 
['48.868106#2.313655#0', '48.866167#2.312724#0'] 
['48.868106#2.313655#0', '48.871267#2.303445#0'] 
['48.868106#2.313655#1', '48.866167#2.312724#1'] 
['48.868106#2.313655#1', '48.873716#2.295555#1'] 
['48.868106#2.313655#1', '48.871267#2.303445#1'] 
['48.849139#2.298183#1', '48.859027#2.298116#1'] 
['48.850021#2.333353#1', '48.851994#2.334191#1'] 
['48.850021#2.333353#1', '48.846921#2.337693#1'] 
['48.850021#2.333353#1', '48.861759#2.335872#1'] 
['48.870377#2.370671#0', '48.867297#2.371201#0'] 
['48.871118#2.366530#0', '48.872595#2.364885#0'] 
['48.871118#2.366530#0', '48.874812#2.363154#0'] 
['48.872911#2.325769#0', '48.875784#2.326546#0'] 
['48.872911#2.325769#0', '48.870060#2.325022#0'] 
['48.872911#2.325769#0', '48.873807#2.328576#0'] 
['48.891613#2.348250#1', '48.886454#2.343009#1'] 
['48.871118#2.366530#1', '48.872595#2.364885#1'] 
['48.871118#2.366530#1', '48.874812#2.363154#1'] 
['48.877191#2.369113#1', '48.861759#2.335872#1'] 
['48.852412#2.373691#1', '48.854530#2.371197#1'] 
['48.894391#2.312760#1', '48.858081#2.294634#1'] 
['48.894391#2.312760#1', '48.853456#2.348286#1'] 
['48.894391#2.312760#1', '48.856714#2.350973#1'] 
['48.894391#2.312760#1', '48.861759#2.335872#1'] 
['48.894391#2.312760#1', '48.859027#2.298116#1'] 
['48.852390#2.361218#0', '48.854929#2.362925#0'] 
['48.852390#2.361218#0', '48.855632#2.360111#0'] 
['48.868943#2.367652#0', '48.867485#2.364678#0'] 
['48.855861#2.325290#1', '48.858000#2.327978#1'] 
['48.863984#2.319633#0', '48.863477#2.313458#0'] 
['48.863984#2.319633#0', '48.865831#2.321477#0'] 
['48.863984#2.319633#0', '48.866167#2.312724#0'] 
['48.863984#2.319633#0', '48.859027#2.298116#0'] 
['48.863984#2.319633#0', '48.861759#2.335872#0'] 
['48.848031#2.347813#0', '48.853456#2.348286#0'] 
['48.852390#2.361218#1', '48.854929#2.362925#1'] 
['48.852412#2.373691#0', '48.853179#2.369506#0'] 
['48.852412#2.373691#0', '48.854530#2.371197#0'] 
['48.851400#2.327631#0', '48.850773#2.324563#0'] 
['48.866134#2.296512#0', '48.866552#2.299383#0'] 
['48.866134#2.296512#0', '48.864270#2.296871#0'] 
['48.862363#2.368742#1', '48.864135#2.366097#1'] 
['48.870311#2.363233#1', '48.872209#2.361534#1'] 
['48.891613#2.348250#0', '48.861759#2.335872#0'] 
['48.867297#2.371201#1', '48.864105#2.371116#1'] 
['48.850286#2.291968#0', '48.853456#2.348286#0'] 
['48.850286#2.291968#0', '48.859027#2.298116#0'] 
['48.850286#2.291968#0', '48.861759#2.335872#0'] 
['48.850286#2.291968#0', '48.859027#2.298116#1'] 
['48.859000#2.307527#0', '48.859027#2.298116#0'] 
['48.859000#2.307527#0', '48.856714#2.350973#0'] 
['48.859000#2.307527#0', '48.861759#2.335872#0'] 
['48.870558#2.357407#0', '48.860866#2.356954#0'] 
['48.864005#2.287557#1', '48.862169#2.288817#1'] 
['48.859027#2.298116#0', '48.864005#2.287557#1'] 
['48.864005#2.287557#1', '48.859027#2.298116#1'] 
['48.875787#2.344893#1', '48.873791#2.343786#1'] 
['48.875787#2.344893#1', '48.861759#2.335872#1'] 
['48.868943#2.367652#1', '48.867485#2.364678#1'] 
['48.876633#2.341255#1', '48.861759#2.335872#1'] 
['48.869518#2.320400#0', '48.867353#2.306609#0'] 
['48.869518#2.320400#0', '48.868633#2.322655#1'] 
['48.869518#2.320400#0', '48.868633#2.322655#0'] 
['48.869518#2.320400#0', '48.873807#2.328576#0'] 
['48.869518#2.320400#0', '48.866951#2.326977#1'] 
['48.869518#2.320400#0', '48.866951#2.326977#0'] 
['48.869518#2.320400#0', '48.873190#2.331764#0'] 
['48.876366#2.332345#0', '48.874081#2.334931#0'] 
['48.876366#2.332345#0', '48.875784#2.326546#0'] 
['48.876366#2.332345#0', '48.873190#2.331764#0'] 
['48.866552#2.299383#0', '48.867292#2.301904#0'] 
['48.866552#2.299383#0', '48.868956#2.301004#0'] 
['48.866552#2.299383#0', '48.864270#2.296871#0'] 
['48.866552#2.299383#0', '48.871267#2.303445#0'] 
['48.849030#2.356561#1', '48.850022#2.354113#1'] 
['48.870914#2.293478#0', '48.871267#2.303445#0'] 
['48.833792#2.332442#0', '48.861759#2.335872#0'] 
['48.868380#2.342870#0', '48.869023#2.339840#0'] 
['48.868380#2.342870#0', '48.866077#2.344397#0'] 
['48.868380#2.342870#0', '48.866665#2.340723#0'] 
['48.850022#2.354113#0', '48.853458#2.353705#0'] 
['48.850022#2.354113#0', '48.853456#2.348286#0'] 
['48.866114#2.368518#0', '48.864135#2.366097#0'] 
['48.869263#2.335473#1', '48.866693#2.336023#1'] 
['48.869263#2.335473#1', '48.871251#2.332910#1'] 
['48.857738#2.371164#0', '48.854530#2.371197#0'] 
['48.843469#2.359756#1', '48.853456#2.348286#1'] 
['48.839275#2.320211#1', '48.842032#2.321839#1'] 
['48.839275#2.320211#1', '48.861759#2.335872#1'] 
['48.839275#2.320211#1', '48.859027#2.298116#1'] 
['48.884040#2.326943#1', '48.883900#2.332453#1'] 
['48.874081#2.334931#0', '48.876450#2.336791#0'] 
['48.874081#2.334931#0', '48.873807#2.328576#0'] 
['48.874081#2.334931#0', '48.873190#2.331764#0'] 
['48.874081#2.334931#0', '48.871251#2.332910#0'] 
['48.872209#2.361534#1', '48.872595#2.364885#1'] 
['48.872209#2.361534#1', '48.874812#2.363154#1'] 
['48.847963#2.325934#0', '48.850773#2.324563#0'] 
['48.862363#2.368742#0', '48.864135#2.366097#0'] 
['48.848031#2.347813#1', '48.846164#2.345149#1'] 
['48.848031#2.347813#1', '48.846921#2.337693#1'] 
['48.848031#2.347813#1', '48.853456#2.348286#1'] 
['48.848031#2.347813#1', '48.861759#2.335872#1'] 
['48.860987#2.295466#1', '48.859429#2.293169#1'] 
['48.860987#2.295466#1', '48.864270#2.296871#1'] 
['48.860987#2.295466#1', '48.863477#2.313458#1'] 
['48.860987#2.295466#1', '48.862169#2.288817#1'] 
['48.860987#2.295466#1', '48.873716#2.295555#1'] 
['48.860987#2.295466#1', '48.858081#2.294634#1'] 
['48.860987#2.295466#1', '48.853456#2.348286#1'] 
['48.860987#2.295466#1', '48.861759#2.335872#1'] 
['48.860987#2.295466#1', '48.859027#2.298116#1'] 
['48.864005#2.287557#0', '48.862169#2.288817#0'] 
['48.864005#2.287557#0', '48.859027#2.298116#0'] 
