['51.517432#-0.096550#1', '51.513763#-0.098992#1'] 
['51.552352#-0.071246#1', '51.551247#-0.074513#1'] 
['51.518005#-0.171968#1', '51.519689#-0.170041#1'] 
['51.520050#-0.090988#0', '51.519739#-0.093794#0'] 
['51.499334#-0.164302#0', '51.498659#-0.161910#0'] 
['51.499334#-0.164302#0', '51.499833#-0.162802#0'] 
['51.537438#-0.034072#1', '51.536022#-0.039265#1'] 
['51.537438#-0.034072#1', '51.536305#-0.036434#1'] 
['51.537438#-0.034072#1', '51.538408#-0.032192#1'] 
['51.536305#-0.036434#0', '51.537438#-0.034072#1'] 
['51.537438#-0.034072#1', '51.562144#0.006446#1'] 
['51.515007#-0.066422#1', '51.516415#-0.069961#1'] 
['51.525201#-0.080855#0', '51.515007#-0.066422#1'] 
['51.504363#-0.130704#0', '51.507643#-0.127659#0'] 
['51.509007#-0.089754#1', '51.505554#-0.090585#1'] 
['51.553091#-0.074878#1', '51.551247#-0.074513#1'] 
['51.548488#-0.071551#0', '51.546536#-0.073678#0'] 
['51.516785#-0.099255#0', '51.513763#-0.098992#0'] 
['51.517621#-0.122837#0', '51.518870#-0.126675#0'] 
['51.543535#-0.057851#1', '51.541249#-0.058890#1'] 
['51.504363#-0.130704#1', '51.501667#-0.123074#1'] 
['51.504363#-0.130704#1', '51.507643#-0.127659#1'] 
['51.562550#-0.100076#0', '51.566288#-0.104392#0'] 
['51.519111#-0.207707#1', '51.517151#-0.206178#1'] 
['51.519111#-0.207707#1', '51.515268#-0.204455#1'] 
['51.525741#-0.149689#1', '51.508169#-0.059059#1'] 
['51.513628#-0.101640#0', '51.513763#-0.098992#0'] 
['51.521654#-0.102901#1', '51.519962#-0.101581#1'] 
['51.535633#-0.125095#1', '51.531923#-0.123797#1'] 
['51.489702#-0.162910#0', '51.490993#-0.159376#0'] 
['51.489702#-0.162910#0', '51.487409#-0.168777#0'] 
['51.536022#-0.039265#0', '51.532352#-0.041167#0'] 
['51.536022#-0.039265#0', '51.532352#-0.041167#1'] 
